liczbaPodzialow,funkcja,bladTrapezow,bladSimpsona,bladCSI
321,1,1.512534427466905E-5,5.670174052507804E-11,1.5125196323434453E-5
321,2,3.7177577233427073E-7,1.5265566588595902E-14,3.7177217199202417E-7
321,3,2.247149425149697E-7,5.248856904671584E-13,2.2471273322666185E-7
331,1,1.4225218906468995E-5,5.0153964314958444E-11,1.4225088075719983E-5
331,2,3.49651308240162E-7,1.3378187446733136E-14,3.496481260079065E-7
331,3,2.1134198796568526E-7,4.639344464152373E-13,2.113400351388961E-7
341,1,1.340311777822678E-5,4.4524842146564936E-11,1.3403001654560542E-5
341,2,3.2944459232853163E-7,1.1934897514720433E-14,3.29441764257421E-7
341,3,1.9912821352940924E-7,4.120870311652425E-13,1.9912647902797787E-7
351,1,1.2650276987338782E-5,3.9663231032882607E-11,1.2650173564915379E-5
351,2,3.109402224588109E-7,1.049160758270773E-14,3.109377086363274E-7
351,3,1.8794341774541756E-7,3.6720626539477053E-13,1.87941878088127E-7
361,1,1.1959129435731852E-5,3.5448172175378545E-11,1.19590369978273E-5
361,2,2.9395221090577905E-7,9.825473767932635E-15,2.939499646470445E-7
361,3,1.7767517968003688E-7,3.279321258986556E-13,1.7767380194877447E-7
371,1,1.132311393058083E-5,3.1776831166396846E-11,1.1323031098436909E-5
371,2,2.783192931121725E-7,8.715250743307479E-15,2.7831726789884215E-7
371,3,1.682260231117283E-7,2.946254351599009E-13,1.6822478540734487E-7
381,1,1.0736518886944602E-5,2.8570187882159814E-11,1.0736444432862813E-5
381,2,2.639010862059976E-7,7.716050021144838E-15,2.6389927609837827E-7
381,3,1.5951109227918536E-7,2.6451063561694355E-13,1.5950998444314024E-7
391,1,1.0194353650544441E-5,2.575820112760141E-11,1.0194286524850549E-5
391,2,2.5057492625268907E-7,7.327471962526033E-15,2.505732848434583E-7
391,3,1.514562430748878E-7,2.3886448374810243E-13,1.5145523749038325E-7
401,1,9.69224199232066E-6,2.328373605031686E-11,9.692181314663317E-6
401,2,2.3823325218108593E-7,5.6066262743570405E-15,2.3823177758286462E-7
401,3,1.4399645958951268E-7,2.159938894408242E-13,1.4399555917088414E-7
411,1,9.226333521572538E-6,2.1098914282369208E-11,9.22627857349867E-6
411,2,2.2678142391763245E-7,5.6066262743570405E-15,2.2678008293475216E-7
411,3,1.3707453841438344E-7,1.9551027463649007E-13,1.3707371804283497E-7
421,1,8.793229644629696E-6,1.9164572706564797E-11,8.793179733485035E-6
421,2,2.1613590961422346E-7,5.329070518200751E-15,2.161346888129856E-7
421,3,1.3063998646756225E-7,1.7724710588140624E-13,1.3063924203526867E-7
431,1,8.389921417439883E-6,1.7446946665167218E-11,8.389875979758488E-6
431,2,2.0622275181958472E-7,4.274358644806853E-15,2.0622164786932018E-7
431,3,1.246481018679635E-7,1.611766275999571E-13,1.2464742910056614E-7
441,1,8.013737131717935E-6,1.5917475670867987E-11,8.013695688174893E-6
441,2,1.9697628256265531E-7,4.218847493575595E-15,1.969752657648982E-7
441,3,1.1905919178323288E-7,1.4729883979214264E-13,1.1905857172367362E-7
451,1,7.662297963381692E-6,1.4551498894732617E-11,7.662260072455185E-6
451,2,1.88338033280111E-7,3.2751579226442118E-15,1.8833711179500057E-7
451,3,1.1383791484465E-7,1.351696532481128E-13,1.1383735049053101E-7
461,1,7.333480268600923E-6,1.3330128667554675E-11,7.333445579710274E-6
461,2,1.8025580617031522E-7,3.3861802251067274E-15,1.8025496395512874E-7
461,3,1.0895272004041168E-7,1.233457780358549E-13,1.0895220531326189E-7
471,1,7.025383423162057E-6,1.2232867496742017E-11,7.025351593609175E-6
471,2,1.7268288587946046E-7,3.1086244689504383E-15,1.7268210689147523E-7
471,3,1.0437537070751013E-7,1.1296519275560968E-13,1.0437489456061044E-7
481,1,6.736302304258257E-6,1.1246795161845569E-11,6.736273048729702E-6
481,2,1.655773615993894E-7,3.1086244689504383E-15,1.655766485031407E-7
481,3,1.0008053435983655E-7,1.044442310416116E-13,1.0008010045692295E-7
491,1,6.464703637534819E-6,1.0358297553025864E-11,6.464676667788938E-6
491,2,1.5890154686504232E-7,1.9984014443252818E-15,1.5890088389536317E-7
491,3,9.604543180219416E-8,9.620082508376981E-14,9.604502620996769E-8
501,1,6.2092056310053545E-6,9.557507563151546E-12,6.2091807927766585E-6
501,2,1.5262147878836174E-7,3.2751579226442118E-15,1.5262086022760357E-7
501,3,9.224953262387814E-8,8.848477506262498E-14,9.224915917260823E-8
511,1,5.9685603639725304E-6,8.83074169344411E-12,5.968537409667407E-6
511,2,1.467064831284226E-7,1.5543122344752192E-15,1.467059258519754E-7
511,3,8.86742984318456E-8,8.143485885625523E-14,8.867395701050995E-8
521,1,5.741638516437719E-6,8.171477383633885E-12,5.741617260551779E-6
521,2,1.411288032548974E-7,2.4424906541753444E-15,1.4112827517731574E-7
521,3,8.530295056430326E-8,7.6216810640517E-14,8.530262948780454E-8
531,1,5.5274160943030726E-6,7.572178994941225E-12,5.527396414378716E-6
531,2,1.3586326946812832E-7,1.942890293094024E-15,1.358627839120885E-7
531,3,8.212027616250062E-8,7.061018436615996E-14,8.211998259177733E-8
541,1,5.324962865815852E-6,7.027836645967511E-12,5.324944572754342E-6
541,2,1.3088701777963507E-7,1.7763568394002505E-15,1.3088656469761872E-7
541,3,7.91124545318489E-8,6.447620215510597E-14,7.911218422029798E-8
551,1,5.133432236570368E-6,6.5308036756306365E-12,5.133415237140726E-6
551,2,1.261792395013117E-7,1.8318679906315083E-15,1.2617882116927603E-7
551,3,7.626690792794655E-8,6.089573290068984E-14,7.626665929350018E-8
561,1,4.952052390469475E-6,6.079178827000931E-12,4.952036575939234E-6
561,2,1.2172096280904654E-7,2.0539125955565396E-15,1.2172056756964977E-7
561,3,7.357216966208391E-8,5.6815663285192386E-14,7.357193093637804E-8
571,1,4.78011849665283E-6,5.663372548703194E-12,4.780103762619392E-6
571,2,1.1749486422685251E-7,1.609823385706477E-15,1.1749450906650694E-7
571,3,7.10177688045821E-8,5.218048215738236E-14,7.101755342131533E-8
581,1,4.616985857283651E-6,5.283301574010579E-12,4.616972113319351E-6
581,2,1.1348509787456607E-7,2.220446049250313E-15,1.1348476813832775E-7
581,3,6.859412690629618E-8,4.901634653720066E-14,6.859392742697423E-8
591,1,4.462063849325348E-6,4.934580521975818E-12,4.462051022807723E-6
591,2,1.0967714542120532E-7,7.216449660063518E-16,1.0967683522489224E-7
591,3,6.629246887546181E-8,4.5352610555937645E-14,6.629228432863954E-8
601,1,4.314810579317263E-6,4.613684434495724E-12,4.314798581123158E-6
601,2,1.0605768779869962E-7,1.0547118733938987E-15,1.0605739675373371E-7
601,3,6.410474454043857E-8,4.268807529683727E-14,6.410456795946651E-8
611,1,4.174728127373517E-6,4.319725133150598E-12,4.174716903088127E-6
611,2,1.026144871296708E-7,1.4988010832439613E-15,1.0261421740098697E-7
611,3,6.202355556927941E-8,3.985700658404312E-14,6.202338845295863E-8
621,1,4.041358345127644E-6,4.048233970266324E-12,4.0413478279710535E-6
621,2,9.933628086766788E-8,8.881784197001252E-16,9.933601974321249E-8
621,3,6.004209562870955E-8,3.68594044175552E-14,6.00419368945726E-8
631,1,3.914279089994865E-6,3.796990499793651E-12,3.914269210786303E-6
631,2,9.621269470017069E-8,1.3322676295501878E-15,9.621246038760134E-8
631,3,5.8154094040308024E-8,3.6165515027164474E-14,5.815394876762525E-8
641,1,3.7931008974173563E-6,3.5653285879178043E-12,3.7930916317041596E-6
641,2,9.323415406381486E-8,1.5543122344752192E-15,9.323393196369878E-8
641,3,5.635376282286941E-8,3.2085445411667024E-14,5.635362596012605E-8
651,1,3.677463977308504E-6,3.3520686226751195E-12,3.677455253786599E-6
651,2,9.039181736447688E-8,4.996003610813204E-16,9.039159953871945E-8
651,3,5.4635757307242017E-8,3.097522238704187E-14,5.463561972285369E-8
661,1,3.5670355515715624E-6,3.154115857384454E-12,3.5670273330901114E-6
661,2,8.76775035907329E-8,1.0547118733938987E-15,8.767729886560716E-8
661,3,5.299513428091984E-8,2.883804306463844E-14,5.299500685507219E-8
671,1,3.4615074533256296E-6,2.970637624777339E-12,3.461499747642316E-6
671,2,8.508363874559777E-8,1.0547118733938987E-15,8.50834533938638E-8
671,3,5.1427314989860307E-8,2.7727820040013285E-14,5.142720074791107E-8
681,1,3.360593971796222E-6,2.7994689899557557E-12,3.360586689399314E-6
681,2,8.260320016884037E-8,6.661338147750939E-16,8.260301864737585E-8
681,3,4.992805383019494E-8,2.5479618415147343E-14,4.992794055969085E-8
691,1,3.2640299236080805E-6,2.6400270858317754E-12,3.2640230880620624E-6
691,2,8.022966918597163E-8,7.216449660063518E-16,8.022949282704417E-8
691,3,4.8493411730632374E-8,2.3647750424515834E-14,4.8493298404617136E-8
701,1,3.1715689012695725E-6,2.4943103138497236E-12,3.1715624232708794E-6
701,2,7.795698886425839E-8,6.661338147750939E-16,7.795682394062808E-8
701,3,4.711972825810484E-8,2.3203661214665772E-14,4.711962114933854E-8
711,1,3.0829817007083093E-6,2.354269557081068E-12,3.0829756019479237E-6
711,2,7.577952748638594E-8,8.881784197001252E-16,7.577939259428845E-8
711,3,4.580359688755031E-8,2.1871393585115584E-14,4.580350917993137E-8
721,1,2.9980549081792818E-6,2.2265383980979436E-12,2.998049128538627E-6
721,2,7.369203752771725E-8,4.440892098500626E-16,7.369189614081506E-8
721,3,4.454184812652251E-8,1.970645868709653E-14,4.454176014134781E-8
731,1,2.9165896006516645E-6,2.1086049573071364E-12,2.9165841335665466E-6
731,2,7.168962967707415E-8,4.996003610813204E-16,7.168948545910325E-8
731,3,4.33315263115297E-8,1.9317880628477724E-14,4.3331435689575315E-8
741,1,2.8384001896225586E-6,1.9973883658153113E-12,2.8383950244903478E-6
741,2,6.976774341582725E-8,2.220446049250313E-16,6.976761379728913E-8
741,3,4.216987381511217E-8,1.8540724511240114E-14,4.216979529458875E-8
751,1,2.7633133606874694E-6,1.892333512110156E-12,2.7633085002698454E-6
751,2,6.792211709738538E-8,3.885780586188048E-16,6.792200124561276E-8
751,3,4.1054316751720776E-8,1.784683512084939E-14,4.105424242228928E-8
761,1,2.6911671086593536E-6,1.7951889974554547E-12,2.691162468898556E-6
761,2,6.614877046118295E-8,1.0547118733938987E-15,6.614866804310893E-8
761,3,3.99824467145482E-8,1.584843367652411E-14,3.998238329305792E-8
771,1,2.621809868985636E-6,1.7052054213095857E-12,2.6218054550997127E-6
771,2,6.444397721017125E-8,4.440892098500626E-16,6.444387201653967E-8
771,3,3.895201339254584E-8,1.5765166949677223E-14,3.8951945724452486E-8
781,1,2.5550997141687848E-6,1.6182333251180125E-12,2.555095538953056E-6
781,2,6.280424852400657E-8,1.6653345369377348E-16,6.280413850090483E-8
781,3,3.79609067790998E-8,1.532107773982716E-14,3.7960837057093855E-8
791,1,2.4909036361597803E-6,1.5374507222887246E-12,2.490899675883229E-6
791,2,6.122631523997057E-8,1.1102230246251565E-15,6.122620510584653E-8
791,3,3.700715126009335E-8,1.4654943925052066E-14,3.700708414711151E-8
801,1,2.4290968715645622E-6,1.4632045575169172E-12,2.429093086037115E-6
801,2,5.970711125513617E-8,6.106226635438361E-16,5.970701733026829E-8
801,3,3.6088894789232384E-8,1.354472090042691E-14,3.6088834393099845E-8
811,1,2.369562307869E-6,1.391636805792018E-12,2.3695586933991653E-6
811,2,5.824375687302208E-8,2.7755575615628914E-16,5.824368065621144E-8
811,3,3.52043948159686E-8,1.2989609388114332E-14,3.520434391224292E-8
821,1,2.3121899138112134E-6,1.3245238239534274E-12,2.31218650673104E-6
821,2,5.683354858954104E-8,1.6653345369377348E-16,5.683345433160625E-8
821,3,3.435201875734428E-8,1.149080830487037E-14,3.4351959554701494E-8
831,1,2.256876243680872E-6,1.2614492783669107E-12,2.2568729982908042E-6
831,2,5.54739437164109E-8,6.106226635438361E-16,5.5473868609823285E-8
831,3,3.353022959284857E-8,1.1657341758564144E-14,3.353017971607919E-8
841,1,2.2035239653633854E-6,1.203911970115712E-12,2.2035208704640485E-6
841,2,5.416254950096899E-8,8.881784197001252E-16,5.416246240397271E-8
841,3,3.27375794251239E-8,1.0769163338864018E-14,3.273752605115199E-8
851,1,2.1520414275472133E-6,1.1470407956792883E-12,2.1520384191620057E-6
851,2,5.289711330069835E-8,3.885780586188048E-16,5.289705284905466E-8
851,3,3.197270848076528E-8,1.1157741397482823E-14,3.19726700948042E-8
861,1,2.1023422742683096E-6,1.0940970351924761E-12,2.1023394404517948E-6
861,2,5.1675511647530925E-8,4.996003610813204E-16,5.167544708806204E-8
861,3,3.123433170437728E-8,9.603429163007604E-15,3.12342895714135E-8
871,1,2.0543450763160775E-6,1.0456774335310115E-12,2.054342368912332E-6
871,2,5.04957441971321E-8,2.7755575615628914E-16,5.049568468917798E-8
871,3,3.052124208924312E-8,9.96425164601078E-15,3.052120128854696E-8
881,1,2.0079729997762863E-6,9.989092886186768E-13,2.0079704295128398E-6
881,2,4.9355922182581224E-8,2.220446049250313E-16,4.9355846465370945E-8
881,3,2.983229671627008E-8,9.159339953157541E-15,2.983225355635E-8
891,1,1.96315349813847E-6,9.544171009068236E-13,1.963151025768939E-6
891,2,4.825426258570076E-8,5.551115123125783E-17,4.825420268916858E-8
891,3,2.9166416948278595E-8,9.076073226310655E-15,2.9166379644784968E-8
901,1,1.9198180280927124E-6,9.130612932395366E-13,1.9198156917810127E-6
901,2,4.718907936629435E-8,4.996003610813204E-16,4.718901569500389E-8
901,3,2.8522585071577566E-8,7.827072323607354E-15,2.8522548434217754E-8
911,1,1.8779017890019345E-6,8.743283874679264E-13,1.8778995152513023E-6
911,2,4.6158781130678506E-8,4.440892098500626E-16,4.615873178126506E-8
911,3,2.789983949424979E-8,8.271161533457416E-15,2.78998117109186E-8
921,1,1.837343476876474E-6,8.359840597549351E-13,1.8373413133432326E-6
921,2,4.516186002945233E-8,4.996003610813204E-16,4.51618070163029E-8
921,3,2.7297268806458774E-8,8.854028621385623E-15,2.729723591610167E-8
931,1,1.7980850629956135E-6,8.019279684745584E-13,1.7980829744301818E-6
931,2,4.419689114687486E-8,2.220446049250313E-16,4.4196852455602453E-8
931,3,2.67140098930696E-8,7.632783294297951E-15,2.6713983580783918E-8
941,1,1.760071585629741E-6,7.671502322281754E-13,1.7600695750019657E-6
941,2,4.3262522675391324E-8,1.6653345369377348E-16,4.326249364305923E-8
941,3,2.6149246851181474E-8,7.271960811294775E-15,2.6149223786298137E-8
951,1,1.7232509599701684E-6,7.361056209020944E-13,1.7232490740204387E-6
951,2,4.235747391723166E-8,3.885780586188048E-16,4.2357433172046655E-8
951,3,2.5602205661057198E-8,7.382983113757291E-15,2.5602173769900816E-8
961,1,1.6875737924304524E-6,7.0667083296172E-13,1.6875719750786278E-6
961,2,4.148053089902959E-8,4.440892098500626E-16,4.148047405561073E-8
961,3,2.507215321467804E-8,6.522560269672795E-15,2.5072116882629558E-8
971,1,1.652993222425736E-6,6.770556337798439E-13,1.6529914994845019E-6
971,2,4.0630543540753905E-8,4.440892098500626E-16,4.063049502400773E-8
971,3,2.4558392847096044E-8,6.300515664747763E-15,2.455836495274255E-8
981,1,1.619464765123535E-6,6.507849814596511E-13,1.6194630765575813E-6
981,2,3.980641549716779E-8,6.106226635438361E-16,3.980635815414857E-8
981,3,2.406026386458926E-8,6.161737786669619E-15,2.4060228448474774E-8
991,1,1.5869461698764242E-6,6.242922845345333E-13,1.586944526149603E-6
991,2,3.900711043058891E-8,2.7755575615628914E-16,3.900708434034783E-8
991,3,2.357713704825848E-8,6.161737786669619E-15,2.3577123087203944E-8
1001,1,1.555397282276827E-6,5.994371665707376E-13,1.55539570614871E-6
1001,2,3.8231640742125705E-8,4.440892098500626E-16,3.8231606880323454E-8
1001,3,2.310841853980783E-8,5.717648576819556E-15,2.3108402025240338E-8
